title,field,sales_point
10대를 위한 데이터 과학 with 엔트리 : 일상의 문제를 데이터로 해결해보자!,총류,228
"24단계 실습으로 정복하는 쿠버네티스 : 헬름, 로키, 프로메테우스 등 현장에서 바로 활용할 수 있는 쿠버네티스 도구 활용법",총류,573
ChatGPT로 시작하는 대화형 인공지능 활용법,총류,559
GraphQL과 타입스크립트로 개발하는 웹 서비스 : 설계부터 개발 · 배포까지 따라 하며 완성하는 웹 풀스택 개발,총류,142
IT 비전공자를 위한 파이썬 업무 자동화(RPA),총류,624
XAI 설명 가능한 AI : 주요 파이썬 라이브러리를 활용한 개별 기술 학습과 실습까지,총류,403
가장 쉬운 독학 알고리즘 첫걸음 : 파이썬편 : 코딩 테스트에 대비하는 25가지 기초 알고리즘과 최적화,총류,313
기업의 DX와 5G : 기업의 디지털 혁신을 위한 5G 자가망 사례 및 도입/구축 입문서,총류,140
"김기현의 딥러닝 부트캠프 with 파이토치 : 기초부터 수식, 실습까지 담은 올인원 딥러닝 입문 교과서",총류,289
"나는 처세술 대신 데이터 분석을 택했다 : 쉽게 이해하고 활용할 수 있는 AI, Big Data 입문서",총류,424
설명,철학/심리학/윤리학,"17,770"
신유물론 : 몸과 물질의 행위성,철학/심리학/윤리학,"1,881"
아리스토텔레스 선집,철학/심리학/윤리학,956
아리스토텔레스의 심리철학,철학/심리학/윤리학,243
"의심하는 인간 : 확증편향의 시대, 인간에 대한 새롭고 오래된 대답",철학/심리학/윤리학,495
인공지능과 로봇의 윤리,철학/심리학/윤리학,358
인성교육의 철학과 방법,철학/심리학/윤리학,48
자연문화와 몸,철학/심리학/윤리학,175
자연법 연구 : 도덕의 원류를 찾아서,철학/심리학/윤리학,183
점필재 김종직의 도학 다시보기,철학/심리학/윤리학,16
정역심법 : 한대와 송대를 잇는 역학,철학/심리학/윤리학,200
중국사상과 죽음 이데올로기 : 나는 존재하는가,철학/심리학/윤리학,107
"철학, 개념 : 고대에서 현대까지",철학/심리학/윤리학,"1,665"
청대학술원류,철학/심리학/윤리학,58
치매와 인지-의사소통 : 인간 중심 재활,철학/심리학/윤리학,107
타자철학 : 현대 사상과 함께 타자를 생각하기,철학/심리학/윤리학,"1,696"
21세기의 부모교육,사회과학,45
4차 산업에서 재료와 표준,사회과학,30
4차 산업혁명 시대의 인공지능 알고리즘에 의한 법 분야 위험 예측,사회과학,46
4차 산업혁명과 조세,사회과학,25
96세 미키마우스가 현역인 비밀 : 문화콘텐츠 지식재산권 비즈니스,사회과학,65
AI시대의 경영전략 : 전략의 고수가 되는 비법,사회과학,124
AI와 사회 변화 : 지금 우리는 무엇을 준비해야 하는가,사회과학,153
"DAO, 미래의 조직이 만드는 새로운 기회",사회과학,216
jamovi 활용 사회과학 데이터분석 : 통계분석의 직관적인 이해와 활용,사회과학,214
갈등과 공존의 인도·태평양 : 각국의 인태전략,사회과학,39
경쟁과 경쟁제한성의 이해,사회과학,85
경제안보와 수출통제,사회과학,555
계속 팔리는 브랜드 경험의 법칙 : 기억이 머무는 브랜드의 비밀,사회과학,470
공감의 힘,사회과학,"6,575"
공공행복론,사회과학,50
공정과 경쟁의 장 : WTO 분쟁해결절차 이야기,사회과학,40
교사가 당면하는 문제의 원인 진단 및 처방 : 22개의 문제를 중심으로,사회과학,74
교실에서 교사가 개발하는 통합교육과정으로 수업과 평가 엮기,사회과학,521
그림으로 풀어낸 양도소득세 실무해설,사회과학,40
근대 한국학 교과서 해제,사회과학,35
금융 IT와 디지털 대전환,사회과학,50
금융기관 부실 개선제도 연구,사회과학,10
